description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.19191937524413805,0.20734872777542732,0.2456195447043091,0.6231697559356689,0.0658498764038086,-0.8148365134242133,-0.21112872122841697,-0.06277430190216612,-0.20168795053619668,-0.25052427919508846,0.17069503355962315,6
GaussianProcessRegressor,-1.2647980627300623,0.3215529724111689,0.41119735980010397,4.122393083572388,1.283211088180542,-0.7393643151376454,-0.33399878108020015,-0.17891342508222371,-0.28593261121338054,-0.4229440709485518,-1.3634868591802665,6
BayesianRidge,0.22141604155778982,0.20823501357597632,0.24109505387179028,0.140289306640625,0.0038084983825683594,-0.6788078871641388,-0.21056235488944494,-0.059090471236262654,-0.20929652126236076,-0.24307720817473905,0.21944698842881497,6
TweedieRegressor,0.19964592680147375,0.20699109004824345,0.24444246513904197,0.06750636100769043,0.003807401657104492,-0.7991954579914199,-0.2099656349047483,-0.061790346164330746,-0.20044906804821244,-0.2485585912821965,0.1837183779663859,6
SGDRegressor,-2.238043730480102e+29,111401686619001.27,129261698771037.69,0.09936161041259765,0.003847503662109375,-1246088050337409.8,-771578806093859.0,-6.443953432117757e+29,-775050932031676.2,-776783962534759.2,-8.532452164583791e+30,6
PassiveAggressiveRegressor,-0.37276793189217505,0.26639932514448683,0.3201357224739054,0.10345926284790039,0.0038602352142333984,-0.6971992841003806,-0.23513088755629305,-0.08137406994304089,-0.20944516438494895,-0.28285546547138,-0.07236416108864574,6
GradientBoostingRegressor,0.11676182573207006,0.23480568301280447,0.25678786161028333,0.9886942386627198,0.004893589019775391,-0.47257281607703155,-0.23789569227111046,-0.06736694704805476,-0.25646721704825776,-0.2595445161950477,0.11029735875104858,6
HistGradientBoostingRegressor,-0.0011884994974324936,0.2506876797180234,0.2733968467018661,0.5254843235015869,0.006218957901000977,-0.4663214675876365,-0.25292272895359574,-0.0758401371778585,-0.28580272664509854,-0.27538296521319083,-0.0015907212461809372,6
AdaBoostRegressor,0.0041671265844731575,0.24957599897385502,0.27266462961523596,0.030137252807617188,0.004081869125366211,-0.46640744382220306,-0.25107505694721377,-0.07519840920824007,-0.2838788039219557,-0.27421348292771,0.0069050484045433125,6
RandomForestRegressor,0.4187987510646226,0.15225062530390102,0.20830459227797277,51.5442316532135,0.18461599349975585,-0.7025932208920003,-0.16023187910906866,-0.047754816025602026,-0.10997348333099995,-0.21849481629151182,0.36922636320068875,6
ExtraTreesRegressor,0.24429910940726318,0.16485073908829753,0.2375256646822509,91.69329380989075,0.1900576114654541,-0.7420719110559999,-0.16767703436496487,-0.055712054093290886,-0.10630209539199989,-0.2357618860503226,0.2631132816123219,6
BaggingRegressor,0.37561251952452046,0.15650945476281825,0.21590498424910404,5.058893299102783,0.024084711074829103,-0.7135785041399999,-0.1627849343084001,-0.04868471302507919,-0.11478877765000002,-0.2205727198661886,0.3569639219288125,6
DecisionTreeRegressor,0.11399987070591655,0.17618186258077528,0.25718904611031324,0.8492877960205079,0.00554051399230957,-0.7515087696000001,-0.17825290769185903,-0.0664806408188767,-0.10258657999999998,-0.2576777705074439,0.12136778133454842,6
SVR,0.1738406720950435,0.22261223002646127,0.24835189629928808,1.092254400253296,0.49860420227050783,-0.484926834595229,-0.2283548374356507,-0.0641638036476829,-0.2405010658514323,-0.2533027032007056,0.15249498162792907,6
KNeighborsRegressor,0.424037912157354,0.15904138172107912,0.20736359989112757,0.007659387588500976,0.07683911323547363,-0.674385674,-0.16281032346271768,-0.04455663826930334,-0.12870462316,-0.21107623691449778,0.4113296325551345,6
PLSRegression,0.19184933361218703,0.20735282617874248,0.24563018919970495,0.02002992630004883,0.004216527938842774,-0.8149507391896232,-0.21113750628040426,-0.06278334581715586,-0.20173292956329508,-0.25054231032555535,0.1705754096533959,6
