description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.15660106946245966,0.21301267046636324,0.25175514156778084,0.6912368297576904,0.061794090270996097,-0.8184449176630352,-0.21648750310376488,-0.0659481085717841,-0.20284090550384337,-0.2567835487600145,0.12681841442493763,3
GaussianProcessRegressor,-1.2203851951442761,0.3175169570287196,0.40848488142163103,7.411263084411621,2.68147873878479,-0.7404639628414509,-0.3232227162022749,-0.17256547626809132,-0.24759284064283732,-0.415365708986618,-1.2847974215903735,3
BayesianRidge,0.19920913921413563,0.2124010196862668,0.24531346107480045,0.14634041786193847,0.003969240188598633,-0.6460344906921149,-0.21664292044664327,-0.06148004401622096,-0.2158402270118919,-0.2479365832382135,0.18605707883179348,3
TweedieRegressor,0.17025529965777386,0.21231755826381707,0.2497089275683484,0.07233905792236328,0.0038822650909423827,-0.7819844753266634,-0.215571343278745,-0.06440019916229574,-0.20439973157552122,-0.25375557692813605,0.14730276121624386,3
SGDRegressor,-6.969136061623334e+29,219721229880683.1,228850200703098.22,0.1274538516998291,0.003933477401733399,-623332182951248.8,-341772383535528.3,-1.8244684709327113e+29,-340363622136592.1,-349599998132256.25,-2.3951824462786242e+30,3
PassiveAggressiveRegressor,-0.14314350250229912,0.23821499679962355,0.29309755930754455,0.11141624450683593,0.003907632827758789,-0.7070567510607768,-0.23659862864987108,-0.07897729435136852,-0.22817900305999395,-0.27878191687925485,-0.0488227321140771,3
GradientBoostingRegressor,0.11307008470924662,0.23608262300765465,0.25817041782084515,1.097029161453247,0.004938316345214844,-0.44513338905448946,-0.23832889755855585,-0.06755325524064468,-0.25864705540622623,-0.2598939172839661,0.105873836277521,3
HistGradientBoostingRegressor,-0.00027472791441818245,0.25098915403662564,0.2741709734948022,0.5313923358917236,0.006342458724975586,-0.45845485868400393,-0.2526703556049531,-0.07563927891125699,-0.28613836316243685,-0.2750159649749833,-0.001218553611058093,3
AdaBoostRegressor,0.002707239566180908,0.2503932177150196,0.2737619962719548,0.03390660285949707,0.004080820083618164,-0.46056289157756236,-0.25143989834658054,-0.07519006083347503,-0.28446858785992396,-0.27419526468873806,0.004761121783940303,3
RandomForestRegressor,0.4012529526819064,0.15221314969892613,0.21212092790892176,52.30597634315491,0.18623132705688478,-0.7050750414060005,-0.15930546809801643,-0.04930337790686258,-0.10338902788500008,-0.2219776721376983,0.34741076460641945,3
ExtraTreesRegressor,0.3762005975021512,0.15341149480578317,0.21651316225424094,91.59098472595215,0.1960153579711914,-0.743095753054,-0.15995809584699278,-0.05121352062285215,-0.10273234134999991,-0.22624205383130414,0.3217665407734672,3
BaggingRegressor,0.40580770607143457,0.15459645196699842,0.2113125707170242,5.373561906814575,0.026595878601074218,-0.7182334436000002,-0.1627531232267992,-0.05212248844847468,-0.10358133832000001,-0.2282029449870681,0.30997251391735614,3
DecisionTreeRegressor,0.14773700990395688,0.17185172605065477,0.25307464748865516,0.9094780921936035,0.005959606170654297,-0.7543110073999999,-0.176006017717519,-0.06546321167677342,-0.09738817739999998,-0.255757347814428,0.13289898945319373,3
SVR,0.15071517484120656,0.22601243893394454,0.25263208595673053,2.07617130279541,0.788409948348999,-0.4887954288639447,-0.23170510200388383,-0.06610627387491248,-0.2435879273896518,-0.25709734116037636,0.12493566205869455,3
KNeighborsRegressor,0.4259678049277862,0.15909340570597172,0.20769686978520288,0.00972604751586914,0.13342432975769042,-0.68542561964,-0.16779807338009559,-0.046775661368358326,-0.13712320240000003,-0.21623320595736803,0.3805574527757194,3
PLSRegression,0.156514651279975,0.21301876518117843,0.2517680391798704,0.033443021774291995,0.005437326431274414,-0.8185913177880441,-0.2164917352155796,-0.06595506947714362,-0.20282529555602258,-0.25679707617894637,0.126726193380308,3
