description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.18215469241270643,0.20590674009280685,0.24591959142832218,0.6248702049255371,0.057271480560302734,-0.8448655609291797,-0.21214513926698547,-0.06301132511797804,-0.20376619178207234,-0.25097794105696064,0.17013343394742833,20
GaussianProcessRegressor,-1.255134479481479,0.3181870394224011,0.40836053868371874,4.134406280517578,0.9711016178131103,-0.7417626412912272,-0.3351432733182749,-0.1797023322297532,-0.28981677743253875,-0.4238473650642818,-1.367019558682842,20
BayesianRidge,0.22183663903628537,0.20533540255251054,0.23987938946466764,0.13992671966552733,0.003810739517211914,-0.6821977546847989,-0.21193646758358403,-0.059302999158233914,-0.2155721484782364,-0.24350136197412123,0.21893877548473384,20
TweedieRegressor,0.19140595026654972,0.2053403056942554,0.24452474577797492,0.06473016738891602,0.0037958621978759766,-0.852010721896854,-0.21125294466471348,-0.06196815881358083,-0.20545809452413408,-0.24889510655521746,0.18383803895905418,20
SGDRegressor,-3.7194086887460977e+30,519154489628726.06,524438414965925.5,0.11358933448791504,0.003888654708862305,-746373673040942.6,-360158585742985.6,-1.60014114632819e+29,-359987657534767.1,-370752948974057.25,-2.1036715739293086e+30,20
PassiveAggressiveRegressor,-0.6703369640060344,0.2925187657167558,0.3514467985253054,0.1134310245513916,0.0038615703582763673,-0.7178049402357899,-0.23513984914459823,-0.07956984495825639,-0.21723654254763353,-0.28044798231005624,-0.04980957040972589,20
GradientBoostingRegressor,0.1143277143300766,0.23423939344951447,0.25591401650068535,0.9792564868927002,0.004928493499755859,-0.4562921468290468,-0.23740539855559045,-0.06700186286337036,-0.25673337898710513,-0.25884521366543867,0.11757444729966919,20
HistGradientBoostingRegressor,-0.0036262992156339546,0.24947065268827634,0.27242286881220334,0.522515869140625,0.0062366962432861325,-0.46347227513662614,-0.25366638488725923,-0.07611369645133165,-0.2863317148171297,-0.2758837185250449,-0.0024057864868345822,20
AdaBoostRegressor,0.006596776692339379,0.2473710302964945,0.2710318490078454,0.04789137840270996,0.004248142242431641,-0.4622808423712005,-0.25231181923863427,-0.07562585960753757,-0.2844558540413044,-0.27499538124105644,0.004043424739348977,20
RandomForestRegressor,0.3690533252023427,0.1573181789246831,0.2160000608203114,50.07206497192383,0.18065271377563477,-0.6957022057720004,-0.1543324135204517,-0.04429341123369127,-0.10509220740800004,-0.2104142677875867,0.4167543704281756,20
ExtraTreesRegressor,0.23770729182666595,0.166505306278219,0.23742061642900567,88.18712105751038,0.18562021255493164,-0.7491380253059999,-0.16724138569108846,-0.057344498723442015,-0.0980351236879999,-0.23936148157701292,0.24466796276700115,20
BaggingRegressor,0.38188998272538666,0.1568005618153588,0.21379150103076244,5.028387451171875,0.025184011459350585,-0.7209940340600001,-0.1589883292908368,-0.04826475350143687,-0.10913771370000003,-0.21947637906821757,0.36467756153558983,20
DecisionTreeRegressor,0.09815438855097902,0.17791570700822423,0.2582400776479081,0.819438123703003,0.005801153182983398,-0.7650331898,-0.17760666248051823,-0.06718639438093355,-0.09677898379999998,-0.2590582970926932,0.11501668229475241,20
SVR,0.18201865283692364,0.21977644098974541,0.24594004358809524,1.2934497833251952,0.5600300788879394,-0.4721680482203635,-0.23013535438686317,-0.0646216210800051,-0.2457331300527928,-0.25420535728565563,0.14890796765726025,20
KNeighborsRegressor,0.4420727153431334,0.15536983978603458,0.2031170338042343,0.007735395431518554,0.08834719657897949,-0.65277546092,-0.16195117318039914,-0.04272697490470732,-0.13468160733999998,-0.20667802284219755,0.4373099787778553,20
PLSRegression,0.18208241856701124,0.20590805939551515,0.2459304572740939,0.021187829971313476,0.004358768463134766,-0.8449565345072395,-0.2121495016446854,-0.06301899892364633,-0.20373905037198559,-0.25099313882813606,0.17003249775479384,20
