description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.18006899396228349,0.21495291801359714,0.2493433224731021,0.5982967853546143,0.04236326217651367,-0.8075426884776841,-0.22089411293830982,-0.0662472567168958,-0.21924368246306383,-0.25732944834479266,0.11929576186859722,42
GaussianProcessRegressor,-1.4220207642682348,0.33767397538625404,0.428546564892951,3.1677627563476562,0.9213376998901367,-0.7477724260712654,-0.3288557181034286,-0.17737389432672096,-0.2662741099,-0.42110418976942376,-1.3577781446424504,42
BayesianRidge,0.17784828574938372,0.21859102727343996,0.2496807559538885,0.08138275146484375,0.003421926498413086,-0.6713068639780274,-0.22297942117498004,-0.06473888292514283,-0.2260844720633545,-0.2543987492951031,0.1393540695383267,42
TweedieRegressor,0.17992693349064826,0.21499142055370182,0.2493649220318293,0.06617002487182617,0.003414011001586914,-0.8042281004761579,-0.221034822437104,-0.06626905180189827,-0.21977011748935044,-0.2573696904457813,0.11902790992693184,42
SGDRegressor,-1.5659907476521493e+35,1.0881333346974323e+17,1.0896918007743438e+17,0.05106453895568848,0.0034697532653808595,-1.1222729015238832e+17,-9.798656388247446e+16,-1.1460025919304554e+34,-9.80743014186493e+16,-9.806720825290845e+16,-1.5169847481404278e+35,42
PassiveAggressiveRegressor,-0.17203619831603412,0.25331448065334294,0.2981120971858406,0.04947514533996582,0.003555154800415039,-0.6198071337708011,-0.25874160843693494,-0.09224058408487928,-0.23978423656579878,-0.30218742746396954,-0.22295772688549959,42
GradientBoostingRegressor,0.37682851402723194,0.18833315825779454,0.21737664118771124,26.2883572101593,0.005593156814575196,-0.5814295177208665,-0.18819510454122493,-0.04811377159048201,-0.18172012260002957,-0.21930665439217378,0.3603251257860244,42
HistGradientBoostingRegressor,0.484545745113114,0.1587655406988173,0.19769885392810732,2.8628115177154543,0.013693714141845703,-0.6283719064436545,-0.1631837385002841,-0.04211850734886961,-0.13717746665939595,-0.20519885548859979,0.4398761216208683,42
AdaBoostRegressor,0.08874407253623606,0.24040737776074786,0.2628628851688484,7.1752887725830075,0.009484815597534179,-0.46871764884935396,-0.2396023819883934,-0.06837925671348115,-0.2634983020246117,-0.2614706672908648,0.09094785040795961,42
RandomForestRegressor,0.42217092118280675,0.16808556754889473,0.20931906398600153,52.13037686347961,0.026987171173095702,-0.6622869383979999,-0.17101372367946222,-0.045459970692877175,-0.14573975507600004,-0.21318602930738972,0.39554164903948746,42
ExtraTreesRegressor,0.3388258936063735,0.17226606474176534,0.22390665692513387,14.774688720703125,0.03121037483215332,-0.7218573742659999,-0.17506700259247332,-0.051966122353017764,-0.13978733248599995,-0.2279272264359969,0.30920014156896214,42
BaggingRegressor,0.3551615751123558,0.17572474512650602,0.22112331751731135,5.276992893218994,0.007345151901245117,-0.7084143441,-0.17876884013414446,-0.05037359260441417,-0.15051625954000003,-0.22438261666156972,0.33052329739204855,42
DecisionTreeRegressor,-0.05720102552458317,0.20447093239271869,0.2831312948377512,0.8773050308227539,0.0035537242889404296,-0.7768985730000001,-0.20267473443600398,-0.07989174537923924,-0.12756326460000003,-0.2825652544353262,-0.062750149526552,42
SVR,0.15464979796916223,0.22141024161623707,0.2531788469466746,0.8510869979858399,0.4001047611236572,-0.5865321578205828,-0.22469044858832707,-0.06541070087889334,-0.22465253474748176,-0.25572041062644035,0.1304789466791272,42
KNeighborsRegressor,0.3816180847518599,0.16864079349381877,0.2165396733186107,0.006381607055664063,0.30620131492614744,-0.68182985976,-0.17339703494655315,-0.0492155524059457,-0.14190885879999998,-0.22177081786768774,0.3459480196963452,42
PLSRegression,0.16860351247275496,0.21921165182570757,0.2510806127865268,0.01512908935546875,0.0037049770355224608,-0.686782967583018,-0.22342170310569634,-0.06585099262993724,-0.22553773046256848,-0.2565794856737703,0.12443025442861892,42
