description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.2133936893148095,0.20477568843685603,0.2429998475789672,0.679036283493042,0.05975785255432129,-0.7444203113459192,-0.21087500746026433,-0.06253515360804686,-0.20376503800863777,-0.25000003244280156,0.17311870023841883,1
GaussianProcessRegressor,-120.96078775912522,0.7010029643509159,3.0257803521878786,7.366906452178955,1.0931639194488525,-29.73423569500182,-0.46371592604310957,-2.61230008517589,-0.23785019656761075,-1.6066041227961168,-33.58396119591013,1
BayesianRidge,0.23197711084402195,0.20840337686698107,0.24011227894650108,0.14336543083190917,0.003955411911010742,-0.5698112480333434,-0.21369592129623735,-0.060402483882620386,-0.2166090754986721,-0.24573641519424774,0.20122277121691284,1
TweedieRegressor,0.22396362162336259,0.20564125245547574,0.24136168448361214,0.07508139610290528,0.003875923156738281,-0.6611452522099249,-0.21073156382684757,-0.06136283432663725,-0.20771673603516674,-0.24765834239129703,0.18859759837442985,1
SGDRegressor,-9.636384668259014e+28,77443975004002.53,85051965045989.92,0.11060752868652343,0.004029750823974609,-448897135883264.2,-270677648970001.8,-8.385604359630222e+28,-271822252578866.0,-274498109091173.3,-1.1003923902250477e+30,1
PassiveAggressiveRegressor,-0.11915458007652258,0.2335398454132882,0.28984934696135806,0.09705696105957032,0.003987836837768555,-0.7549085843897234,-0.28603808067975567,-0.12423831662194558,-0.2699135452496775,-0.35018483370971765,-0.6417130110871622,1
GradientBoostingRegressor,0.1086955745837358,0.23682100576111292,0.2586665790696368,1.1518870830535888,0.005053949356079101,-0.4597577687692468,-0.23953555433716384,-0.06840369528560775,-0.25998200926065457,-0.2615305687158873,0.09526047709173144,1
HistGradientBoostingRegressor,-1.6671826561731606e-05,0.25096708941571205,0.2739876000512837,0.541951322555542,0.006406402587890625,-0.46184843891299765,-0.2525305437867632,-0.07566908936569869,-0.28458373082905764,-0.27506801253760305,-0.0008128658226866037,1
AdaBoostRegressor,0.008005158947328117,0.24975501424576133,0.27288646460139443,0.029655981063842773,0.004125785827636719,-0.49596416535137494,-0.2511516439892045,-0.07528976797855627,-0.2836233327072635,-0.274377891965651,0.004186235883694445,1
RandomForestRegressor,0.3799879061061826,0.15467600707420637,0.21573835776299616,52.32824211120605,0.18926787376403809,-0.6877631450360001,-0.1651083027894829,-0.05182705786680667,-0.11013837975599997,-0.22736007950808562,0.31434898481673623,1
ExtraTreesRegressor,0.353651710093449,0.1566316619115034,0.22027265682994682,98.79493155479432,0.20854172706604004,-0.7318566713820003,-0.16702865279124351,-0.054371654578298845,-0.11159846707899976,-0.23308028723490032,0.2809890192892087,1
BaggingRegressor,0.3563100445064642,0.1574882563753798,0.21981921577269117,5.3531474590301515,0.030353879928588866,-0.70673877576,-0.16786194955775743,-0.05345984885987394,-0.11286186910999998,-0.23092628264865342,0.2929563617637134,1
DecisionTreeRegressor,0.22364850661065927,0.16692914457553695,0.2414106828122474,0.9389562129974365,0.00583338737487793,-0.7562878384,-0.18209753887339514,-0.06898065445808103,-0.10529711879999999,-0.2625522556105008,0.08723523416181153,1
SVR,0.16843306709357908,0.22447266367276053,0.24984800943758878,1.0934174537658692,0.5494473457336426,-0.47696190574033154,-0.23003270058915817,-0.06551548439848268,-0.24125205197489663,-0.2559479293006398,0.13346434725441378,1
KNeighborsRegressor,0.32549456804566557,0.17211072513876374,0.22501942666309585,0.0075095176696777345,0.15265507698059083,-0.68064612744,-0.17415750451905598,-0.050032735422827324,-0.14200066756,-0.22353690685197214,0.33842267749079913,1
PLSRegression,0.21333509305696174,0.20477752233831378,0.2430088982415221,0.021182489395141602,0.004448032379150391,-0.7446791594339695,-0.21087692131797037,-0.06253981936747942,-0.20376081784523187,-0.2500092796631474,0.17305735340617587,1
