description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.22264831018270026,0.20432269600866906,0.2425440751862936,0.907975435256958,0.07346882820129394,-0.694073461354164,-0.2102638870184948,-0.06241403411370498,-0.19997033853894025,-0.24981167942106652,0.17140008475916105,17
GaussianProcessRegressor,-83.1462801659962,0.6142354236185184,2.523477040651533,11.942662811279297,3.2026925563812254,-32.803310745894166,-0.4851047657496304,-3.7623120808880537,-0.23703069609486072,-1.8726789589113486,-49.02280925573488,17
BayesianRidge,0.2331187608287606,0.20860045957694862,0.2409050774105059,0.17627429962158203,0.004661273956298828,-0.6043057241491608,-0.21269846065667597,-0.06001495463496183,-0.21170005428447816,-0.24497152705670375,0.20328108585429913,17
TweedieRegressor,0.23218512546638626,0.20536346590769544,0.24105167708804126,0.40199708938598633,0.006955718994140625,-0.6602667144187601,-0.21054946708503453,-0.06127637171709595,-0.20471225511046837,-0.24753065095015475,0.18651043250363833,17
SGDRegressor,-1.6408692370198972e+30,350020704095907.8,352386192544205.44,0.16300725936889648,0.00433497428894043,-404378760784105.8,-223464335723602.84,-5.961377682212274e+28,-223777931730728.2,-228013217252366.84,-7.855865214793992e+29,17
PassiveAggressiveRegressor,-0.2787488324124856,0.2577606121892295,0.31108174170247066,0.10562763214111329,0.004256010055541992,-0.6554758776981833,-0.23325673435342628,-0.07799633829466139,-0.21235098613915881,-0.2769000563368767,-0.03340395510583871,17
GradientBoostingRegressor,0.10046308397763415,0.23886638334577182,0.26091040099503876,1.2046591281890868,0.005196380615234375,-0.46051363652625443,-0.23727753997996187,-0.06739871351120534,-0.25660271239106375,-0.2596061240042657,0.1053866761673798,17
HistGradientBoostingRegressor,-0.0010792239393038194,0.25236078733848377,0.2752428973998521,0.561147403717041,0.006749105453491211,-0.46203727816345025,-0.2517293705602655,-0.07537036394955328,-0.2838350294728861,-0.27452302882231794,-0.00030774316579726955,17
AdaBoostRegressor,0.00103363649735555,0.251824592499614,0.2749522825359315,0.02837085723876953,0.004420566558837891,-0.46686237270836684,-0.2510906626761773,-0.07503472360133681,-0.28361965368903924,-0.2739079710356619,0.004186558059389833,17
RandomForestRegressor,0.3278727335460684,0.16136665400853323,0.22553173126793702,60.15033793449402,0.2050546646118164,-0.7217363053660001,-0.16865714329811837,-0.05590678713834914,-0.11060221477300006,-0.23635131758120606,0.25716075764605556,17
ExtraTreesRegressor,0.33922897758293247,0.16084593253583548,0.2236183256221151,112.40386056900024,0.22544240951538086,-0.7501736079760001,-0.16771868731245454,-0.055724065645488506,-0.10832700117299994,-0.23597987435875628,0.2597018242987585,17
BaggingRegressor,0.31549229285055,0.16205876619811418,0.22759937647894599,10.699250268936158,0.04624252319335938,-0.73521461678,-0.16951310721249727,-0.056065241062464265,-0.10965356530999999,-0.23655939850005053,0.25484248798898534,17
DecisionTreeRegressor,0.19586562831039955,0.17137249326925094,0.24668696944238347,1.4598352909088135,0.00859532356262207,-0.770600183,-0.18111106716088415,-0.06819905226672338,-0.1058819752,-0.261020221094488,0.09420157407071816,17
SVR,0.15969700530756703,0.22505606384905866,0.2521737358609786,1.8415009021759032,0.5903696060180664,-0.5076387646656638,-0.22858782077021714,-0.06509899090039406,-0.23819734382993615,-0.25514212514025986,0.13582101892897733,17
KNeighborsRegressor,0.4273634222484226,0.16204858809607126,0.2081715805138592,0.008758831024169921,0.08143987655639648,-0.67562737884,-0.17310977492117596,-0.04907591897792322,-0.14193738560000002,-0.22137224137480577,0.3479980479100356,17
PLSRegression,0.22259479639415047,0.20432245376446703,0.24255242354981493,0.02657489776611328,0.0048599720001220705,-0.6942856124504868,-0.21026503469248087,-0.06242070929394542,-0.1999523705683098,-0.24982501259417092,0.17131142587875026,17
