description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.1632241380696443,0.21786552651231436,0.25243673864972055,0.6676393985748291,0.04649462699890137,-0.7766500111380233,-0.21840016632194356,-0.06474480305814291,-0.21591368331408883,-0.25436031976426354,0.1384191497081863,24
GaussianProcessRegressor,-1.3519863562665386,0.3313601210807514,0.42321922523727007,3.4590078830718993,0.9847534656524658,-0.7427451521988283,-0.33107770360530825,-0.1787880198039684,-0.26957256809999997,-0.4227791869206391,-1.3811132442637852,24
BayesianRidge,0.1712628026313756,0.22018986227971082,0.2512212689379035,0.08712100982666016,0.003482627868652344,-0.6596111805248337,-0.22107360137574794,-0.06387114218257575,-0.22501771959374248,-0.2526769718384499,0.14987004832624834,24
TweedieRegressor,0.16603304165503907,0.21784586171945297,0.25201269049752956,0.04890313148498535,0.003469419479370117,-0.7741644941533024,-0.21877877911197152,-0.06483039339541695,-0.21654000271929452,-0.2545311618683801,0.13727195430015446,24
SGDRegressor,-2.4826341681870166e+32,3971559236635838.5,4348148349763325.0,0.0460904598236084,0.003662443161010742,-1.2795390217156549e+17,-1.152636078470232e+17,-1.5191593333376415e+34,-1.1553222700153446e+17,-1.1535694541919509e+17,-2.0415563215396663e+35,24
PassiveAggressiveRegressor,-0.6215680522283389,0.27847686680796363,0.3514111833929816,0.05774016380310058,0.0035778045654296874,-0.6765752492368756,-0.25610964027563454,-0.09783928711424549,-0.21979145124633961,-0.31172656983429375,-0.30202289919079967,24
GradientBoostingRegressor,0.3686127836167684,0.18901467118826298,0.219278413833503,26.5469922542572,0.005598211288452148,-0.5994827296519892,-0.18796638794538628,-0.04797014967956266,-0.1795415239871742,-0.21896479496430601,0.3614614465551256,24
HistGradientBoostingRegressor,0.5035470056081095,0.15487837826226183,0.19444064633459132,2.923303556442261,0.016072559356689452,-0.6563382603880358,-0.16203024784692183,-0.04113502953261432,-0.1397594847523536,-0.202633822519096,0.45282328344760037,24
AdaBoostRegressor,0.1016728075193083,0.2399120529106807,0.26155634614684214,6.581868124008179,0.008928060531616211,-0.48208975492110173,-0.2398298776416503,-0.0685559856424791,-0.26612847608918233,-0.26180605716275873,0.08726733798463593,24
RandomForestRegressor,0.43802519816995034,0.16467203435808378,0.20687423740463612,51.97728943824768,0.026920366287231445,-0.6779309466299999,-0.16869821299914894,-0.04387577148387049,-0.14510984229899987,-0.20929005849134094,0.4161841115676652,24
ExtraTreesRegressor,0.3641697803836539,0.16798701055899581,0.2200485804992534,14.704031610488892,0.030588245391845702,-0.7071764656100001,-0.17285667790438303,-0.049933359321390904,-0.1376049368040001,-0.22329864171508834,0.3353436544167735,24
BaggingRegressor,0.3916960665446271,0.1671797265485909,0.21523272348391662,5.230522108078003,0.007376861572265625,-0.68207431082,-0.17602263300932539,-0.048855194250743264,-0.14746763286000003,-0.2209158067911297,0.3497689745331163,24
DecisionTreeRegressor,0.08938401970386234,0.1858812527585123,0.2633392670630112,0.8108630180358887,0.0035689830780029296,-0.7700266878,-0.1892201959078641,-0.07147539972913461,-0.11347020970000002,-0.2670046274355724,0.04846593103644616,24
SVR,0.16789126017939204,0.22113531093011438,0.2517317706145628,0.8225956439971924,0.3798027038574219,-0.6003988847728303,-0.22454517053566247,-0.064989899967423,-0.22630372929947265,-0.254887518904484,0.13494106600192474,24
KNeighborsRegressor,0.40386926671552037,0.16498946254324776,0.21306825295717494,0.0068604469299316405,0.061945009231567386,-0.68935657572,-0.17180754201941661,-0.04813690909201526,-0.1422502106,-0.21922790102137024,0.3596405833172491,24
PLSRegression,0.1619688374235312,0.21988740844326216,0.25262601588639993,0.01633419990539551,0.0038044929504394533,-0.6847506751492096,-0.22186136081197488,-0.065168987477116,-0.22391980839713846,-0.25522776594336405,0.13263606119271737,24
