description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.05215381993184498,0.24102168946233574,0.2659604203760174,0.8431045055389405,0.15352754592895507,-0.4842915754215095,-0.2437010241683129,-0.07176571002525538,-0.2698967861249296,-0.26787531506591267,0.05265779122510432,29
GaussianProcessRegressor,-5.185437793000954,0.3001537467273034,0.6794121363589101,37.506157064437865,5.0442791938781735,-12.210445571458076,-0.31906495154154546,-0.568675453060737,-0.1807714883351921,-0.7498050484139828,-6.499335876361441,29
BayesianRidge,0.4094235984961031,0.17330870718965968,0.2099356157600901,1.4509193420410156,0.007469701766967774,-0.7692138468869821,-0.17907987945249035,-0.04640376973578708,-0.167372009287861,-0.2153693124490851,0.3876109243410363,29
TweedieRegressor,-0.00020810095354928393,0.25019265290359205,0.2732079058910128,0.026723766326904298,0.007236289978027344,-0.4639174331811974,-0.2528078824178187,-0.07586660355494998,-0.2840758382216363,-0.27542855599814864,-0.0015419268819086174,29
SGDRegressor,0.0010468527532395688,0.2496280190627368,0.2730364561254986,0.07295637130737305,0.007305955886840821,-0.4669038931645099,-0.2527276649580103,-0.07578781971865516,-0.2841368581432525,-0.2752873132802315,-0.0005361538865176652,29
PassiveAggressiveRegressor,-0.5412439246100849,0.281101950037473,0.3391437105746942,0.16578326225280762,0.007333278656005859,-0.9713089138410854,-0.516272305260209,-0.41572191595997754,-0.5226020923311243,-0.561088201129644,-4.470321389529946,29
GradientBoostingRegressor,0.407697651020851,0.17584585008061776,0.2102421582327965,104.48277530670165,0.011122751235961913,-0.5698128435221437,-0.17329211395532965,-0.04291392950159838,-0.15860132420330897,-0.2070915258178169,0.43377055102465,29
HistGradientBoostingRegressor,0.5442365259913937,0.14692622818067927,0.1844241697702772,17.477083730697633,0.02163729667663574,-0.5996683752123259,-0.14839686537017938,-0.03433712950621339,-0.12591909844915053,-0.1852814451787263,0.5468030249952032,29
AdaBoostRegressor,0.19838412089463675,0.21922574001229192,0.24458579714796438,39.31945672035217,0.04090032577514648,-0.4596654728292746,-0.22108422335406291,-0.05983330192187334,-0.23257325914000893,-0.24459325117791658,0.21004114141788613,29
RandomForestRegressor,0.4781787599997782,0.1651875612031168,0.1973371968795206,268.7051649093628,0.0320889949798584,-0.5531027543160001,-0.16959396317524283,-0.04032209169745355,-0.15630357285799998,-0.20075802266051546,0.4679031637328885,29
ExtraTreesRegressor,0.5132869781445597,0.15869084710486642,0.19058317666456656,74.22561707496644,0.039168167114257815,-0.5528757781560001,-0.16122716746026486,-0.037139869284727955,-0.14774872519600007,-0.19268751718561425,0.5098356171290466,29
BaggingRegressor,0.42399538845848994,0.1694362948165008,0.2073294801989414,27.191758632659912,0.022896671295166017,-0.6482744341,-0.17519812181929362,-0.04553737996581515,-0.15734803747999998,-0.21331438011127526,0.39914015105053846,29
DecisionTreeRegressor,-0.16459812514419636,0.2127347760810372,0.29480586678264836,4.772719097137451,0.007411146163940429,-0.7939882658,-0.2091292944234669,-0.08377638862247694,-0.13023289229999996,-0.2893243196713483,-0.10645734888067049,29
SVR,0.0830333560159573,0.23126948650254556,0.261592234487944,5.199419450759888,1.9477087020874024,-0.5563858618097838,-0.23370103634318498,-0.06947608578805689,-0.24357155694482677,-0.26352949701779277,0.08316348043847047,29
KNeighborsRegressor,0.45079105357059757,0.15369367029958092,0.2024495800401824,0.022861766815185546,0.18290882110595702,-0.70115895736,-0.16399181886879072,-0.04589741415562265,-0.12786562829999998,-0.2141590821285432,0.39441462358809093,29
PLSRegression,0.11160669233312537,0.22974270566943655,0.25748427897860526,0.08416800498962403,0.008670330047607422,-0.6227745518199869,-0.23144152976088073,-0.06731563677136816,-0.24300827255682939,-0.2593943791333059,0.1116890252341575,29
