description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.12208779166165251,0.22101650178040444,0.2556873472748431,0.8697752475738525,0.05201048851013183,-0.787437356656217,-0.2255931722593148,-0.06815315396645374,-0.22558079019451335,-0.2610132350732457,0.10037304967959482,13
GaussianProcessRegressor,-1.42146598427867,0.3327618395312982,0.42464193438894915,4.293320560455323,1.3799819946289062,-0.7413347636000001,-0.34574380675513783,-0.19024010141905018,-0.30021037929754163,-0.4360585491390154,-1.5108534141979582,13
BayesianRidge,0.14099089540032406,0.22161195159565755,0.25291965264473687,0.08183398246765136,0.003338050842285156,-0.6466439393656188,-0.22672381430553318,-0.06624530551468898,-0.23243972225914314,-0.25732297864146714,0.12560589587679233,13
TweedieRegressor,0.12266199077347939,0.22098793115657214,0.25560371735128296,0.0542938232421875,0.003363037109375,-0.7852097898901185,-0.22571629017898517,-0.06815870940340671,-0.22650701532192957,-0.2610189858159083,0.10031879137499537,13
SGDRegressor,-4.1323807976273595e+32,4049930352081055.0,5547328194302926.0,0.05477309226989746,0.0034167289733886717,-1.3247947893366766e+17,-1.0038323401369174e+17,-1.8265291972421849e+34,-1.0037283193364296e+17,-1.00979554976204e+17,-2.4695261664258475e+35,13
PassiveAggressiveRegressor,-0.547017529189366,0.26658717531776244,0.33941521812363457,0.045327615737915036,0.003285837173461914,-0.6211165906257256,-0.25979010156249,-0.09878236886557965,-0.21578765147683407,-0.31352793092747494,-0.30979480296064144,13
GradientBoostingRegressor,0.3638029335688713,0.1886523309776983,0.21766045080823085,26.512078523635864,0.005606794357299804,-0.5886965053424192,-0.18809854330803644,-0.047867953696266834,-0.18218882461036082,-0.21876406688823274,0.36768596648850316,13
HistGradientBoostingRegressor,0.4812318223359887,0.15826328551083246,0.19654878209131524,3.1553076267242433,0.014088582992553712,-0.6657869586654495,-0.16094079311108672,-0.04076748030594004,-0.13446297155828385,-0.2018671152703207,0.4611469425815075,13
AdaBoostRegressor,0.07922706467954932,0.24038788788258536,0.26185445431273896,7.030379772186279,0.009486198425292969,-0.4734686063074163,-0.23898268758753122,-0.06806993283793675,-0.26380659202142437,-0.2608724878183805,0.10144913583179724,13
RandomForestRegressor,0.43111074196783705,0.1666064825617884,0.20582473261655954,51.15531239509583,0.02690887451171875,-0.6623774069660001,-0.1684506161923597,-0.04312134629379953,-0.14638011857999994,-0.20763602609286505,0.4301165403056665,13
ExtraTreesRegressor,0.40281376722807416,0.165997647871846,0.21088155086288007,14.384855508804321,0.030379676818847658,-0.7186559815739999,-0.16859271617315913,-0.04619969122000074,-0.13970101968300003,-0.21491504666762742,0.3893738431280225,13
BaggingRegressor,0.40100489346036716,0.16818873128528025,0.21120068889936053,5.103227615356445,0.007390213012695312,-0.6837627046600001,-0.1738548363200918,-0.0476717510893389,-0.14750110445,-0.21830607718233613,0.36999603277117116,13
DecisionTreeRegressor,0.03185892243068611,0.1903701132189628,0.26850539538352064,0.8344367504119873,0.003602123260498047,-0.7906350138,-0.2031957480870689,-0.08118105730627481,-0.1266283466,-0.2847797543727855,-0.07366632027434743,13
SVR,0.1408652462131018,0.2223106160570538,0.2529381495306257,1.7584547519683837,0.5551342010498047,-0.5847384821535725,-0.22910125154908675,-0.06668698505672835,-0.23382994808714236,-0.25818505738185055,0.11985715580932979,13
KNeighborsRegressor,0.4164529700545462,0.15883257451440544,0.20845946782460562,0.008831214904785157,0.07403330802917481,-0.66685506148,-0.16539748743565452,-0.045514140985678436,-0.13279744738000004,-0.2132927958742481,0.39829483138518756,13
PLSRegression,0.12460288429013056,0.22427029776375423,0.2553208307836374,0.02242422103881836,0.004378700256347656,-0.6458242976454406,-0.22850803325044336,-0.06698134909744316,-0.2373242164913091,-0.2587622212208373,0.11580526502886931,13
