description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.20714448447816836,0.22214449188689803,0.24511972745484262,0.863932991027832,0.15254473686218262,-0.47620124405791503,-0.22493825091391134,-0.061893926078022486,-0.24266614097650802,-0.24874997413338407,0.1782514701423366,27
GaussianProcessRegressor,0.24174478684848033,0.17994091789604694,0.23971153980147136,33.267113542556764,6.248673725128174,-1.5820992119153603,-0.1847731861832444,-0.06397118873203159,-0.13929461210196478,-0.25288536172619425,0.14933646844672732,27
BayesianRidge,0.5858757598306938,0.14171302391361845,0.1771522061827478,1.392647123336792,0.007193326950073242,-0.6627661749512603,-0.1444270219578443,-0.03210938036166794,-0.12401159846421095,-0.1790765171073786,0.5730182215459637,27
TweedieRegressor,-0.000271934692228637,0.253606387924222,0.2753215976580188,0.03172931671142578,0.007301187515258789,-0.46875552273093124,-0.2515083670026994,-0.0753274715632883,-0.2836359724387524,-0.2744304184925271,-9.197633696644836e-06,27
SGDRegressor,0.004247852561785503,0.253200835917349,0.2746988650252696,0.07240757942199708,0.008030366897583009,-0.46829312643884446,-0.2509971465846671,-0.07502823037779502,-0.2825779433898919,-0.27388517919216265,0.00395727182833241,27
PassiveAggressiveRegressor,-0.14063289946801705,0.2492600540210703,0.2940046410877657,0.23058838844299318,0.007416915893554687,-0.7688233062012151,-0.25471596363054205,-0.10314129392070157,-0.2113206275517122,-0.3187996119823621,-0.37739155552823184,27
GradientBoostingRegressor,0.5438409158072603,0.14854253064160028,0.18592569057179223,108.10138039588928,0.010494375228881836,-0.5795384427113532,-0.15121705679768704,-0.03520103576616836,-0.12822261158837361,-0.18757009978076927,0.5322138458457412,27
HistGradientBoostingRegressor,0.625435725829657,0.13138259664525456,0.1684784720810796,15.675903177261352,0.019438791275024413,-0.5618866596323375,-0.13691164750077414,-0.030132518317392293,-0.11226156326013081,-0.17347915395072092,0.5993530335251908,27
AdaBoostRegressor,0.33548895775196697,0.2021422326009358,0.22440490232316665,41.2396203994751,0.04028410911560058,-0.482443747828566,-0.19935040527468945,-0.04990478161611713,-0.2018761659426956,-0.22335542733679709,0.33740103141558153,27
RandomForestRegressor,0.5457446558700605,0.15259360023270296,0.1855373126243041,268.2579728603363,0.03216743469238281,-0.5881765509780001,-0.1586564352306608,-0.036734923395576324,-0.14087301416100007,-0.1915913736323001,0.5119115477787625,27
ExtraTreesRegressor,0.5845845393054112,0.1466000086777999,0.17742816749792212,76.64201169013977,0.04134025573730469,-0.5306134020880001,-0.15252796737282903,-0.03357392008365232,-0.13875134329900002,-0.18315431822976086,0.5540065138011816,27
BaggingRegressor,0.4850184204527358,0.1590805273781037,0.1975500239614109,26.764891815185546,0.022068548202514648,-0.6332637244399999,-0.16313285911621084,-0.040289140034546825,-0.14265221562999997,-0.2006799547755616,0.46476892592547187,27
DecisionTreeRegressor,0.03699756796202047,0.19335663423242536,0.27014375431785975,4.349948310852051,0.007568216323852539,-0.7785660162000001,-0.202809448983195,-0.07741910464093517,-0.1355003327,-0.2779613815970797,-0.029427017102963516,27
SVR,0.2646086931213032,0.2073326771979514,0.23606982879861044,4.638361883163452,1.8458175659179688,-0.5514195314194027,-0.21269515314137596,-0.05830118203347405,-0.2178567084891902,-0.24140507074025205,0.22583040572409702,27
KNeighborsRegressor,0.5876868844093631,0.1286947087091147,0.17676440435041765,0.02160787582397461,0.29599971771240235,-0.64944515712,-0.13317263128764828,-0.03246525156770964,-0.09971301314,-0.18009262015880706,0.5684939964528468,27
PLSRegression,0.3447173202531413,0.19001254292997094,0.22284124885546888,0.07580900192260742,0.008782577514648438,-0.6118684096829169,-0.19378826933755655,-0.05157249599696334,-0.18666218611771374,-0.22703766837321987,0.31511230749207325,27
