description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.12997049709810415,0.21840307460267896,0.2552897009328747,0.6185010433197021,0.04352855682373047,-0.8246327395405195,-0.2198922444854622,-0.06580281187660522,-0.21662160704963,-0.256508561394056,0.12922993947587988,4
GaussianProcessRegressor,-1.3844503995192854,0.33049671907946565,0.42263012575240255,3.009245777130127,0.888273048400879,-0.7409250446,-0.34671178468956204,-0.19096862058931208,-0.30310831190000004,-0.436977462939082,-1.5266145719650024,4
BayesianRidge,0.15689755295070462,0.21721175855152175,0.251308095835693,0.08184361457824707,0.0033447265625,-0.7242806020497111,-0.2196290894938271,-0.06303675522738637,-0.22390591918751568,-0.25106358080865665,0.16592973567686725,4
TweedieRegressor,0.1290814644574798,0.2184306758701501,0.2554201004918872,0.04613957405090332,0.0032887935638427736,-0.8178640005638531,-0.22010680875793334,-0.065879737724808,-0.21726327555034564,-0.25665788410641366,0.1282155875399413,4
SGDRegressor,-6.416124891526281e+31,1559768791270962.8,2192313757042357.2,0.056093597412109376,0.0032855510711669923,-5.6313738544206936e+16,-4.085068246909598e+16,-3.7254617430892803e+33,-4.06596744690503e+16,-4.134153495406268e+16,-4.903415284052138e+34,4
PassiveAggressiveRegressor,0.008247774097160376,0.2259351327668833,0.27256362499594133,0.05344576835632324,0.0033016204833984375,-0.6682479703900258,-0.26627372398415716,-0.10843274708889077,-0.22669031470922824,-0.3267523552495085,-0.4372857984299241,4
GradientBoostingRegressor,0.3921113067726849,0.1811062451681549,0.21339210002028716,27.074414873123168,0.005912876129150391,-0.5789554708625929,-0.18566906021319446,-0.04652464389962581,-0.18043132257581557,-0.21567679918620714,0.38437525684855345,4
HistGradientBoostingRegressor,0.480268306193814,0.1570504240816554,0.19731309338514907,2.837756395339966,0.013573551177978515,-0.6335468549034087,-0.16094247146653412,-0.040047488111291836,-0.13718123237975793,-0.20008615837979363,0.47018018659075655,4
AdaBoostRegressor,0.10445679394139429,0.23583665051891725,0.25900585181430286,9.003793573379516,0.011151885986328125,-0.47499818653970527,-0.23878733472369468,-0.06759512126553441,-0.2602884416605911,-0.25998362644367307,0.10576411597375139,4
RandomForestRegressor,0.43395154865955754,0.16714705565921423,0.20591742933693055,52.993278884887694,0.027109289169311525,-0.6154421072240001,-0.1725693844221807,-0.043639210203943984,-0.15502008187200006,-0.20888612222235228,0.4225638887607034,4
ExtraTreesRegressor,0.40001613567974836,0.16642698750792562,0.2120001118349314,14.246262454986573,0.03111124038696289,-0.6488401109440003,-0.1717310786878191,-0.04639585888155195,-0.1435873966780001,-0.21537573879322397,0.3860457092571019,4
BaggingRegressor,0.3803549944594954,0.1720518904999476,0.21544567559133856,5.266216516494751,0.00740656852722168,-0.6737191875599999,-0.17690350046045283,-0.04767691324873847,-0.15469871792999998,-0.21832504341264497,0.3690180065217848,4
DecisionTreeRegressor,-0.06362168380555278,0.20372583418423257,0.2822668624881084,0.8991083145141602,0.0035758018493652344,-0.7913830099999999,-0.2094463304694561,-0.08339694490122944,-0.1340753862,-0.28861924112283266,-0.10377784830061332,4
SVR,0.16084053799225795,0.21854784326525029,0.25071975373233,0.8421234130859375,0.42568435668945315,-0.5905902896591042,-0.22297616057275066,-0.0631916072549191,-0.23053301849829883,-0.2513768440885178,0.16392241883961794,4
KNeighborsRegressor,0.41116448845170483,0.1594647092158722,0.2100212801922003,0.006636285781860351,0.06308565139770508,-0.66930551468,-0.16506292962137248,-0.04565943976470483,-0.13068335084,-0.21362182852544137,0.39584151462379047,4
PLSRegression,0.142619555501859,0.21890141294031623,0.2534271219100991,0.01582045555114746,0.0037195682525634766,-0.7918179537318929,-0.2200504538142778,-0.06395941007757143,-0.22497184676575227,-0.2528917257034897,0.1536532824926479,4
