description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2,iteration
KernelRidge,0.20607151234155086,0.20591217308403886,0.2452395279377987,0.9069884777069092,0.07530016899108886,-0.8806159231264035,-0.21035558998481424,-0.06304176801682984,-0.19976463534906425,-0.2510215808544574,0.15936335170997734,19
GaussianProcessRegressor,-41.999577530889276,0.465191542422996,1.804811597569097,11.936026287078857,3.2218021869659426,-41.30485470542665,-0.4925614865106825,-4.2020634887064885,-0.2485875829301404,-1.9924178404595652,-54.62186917701496,19
BayesianRidge,0.21978777561274487,0.20993812697202435,0.24311186445651126,0.23436646461486815,0.006187963485717774,-0.5802875286812277,-0.21182689966883786,-0.05944778883845496,-0.21169437776294875,-0.24379766050680737,0.20708862636268127,19
TweedieRegressor,0.21403758627603375,0.20716676269787873,0.24400609101480314,0.2885427474975586,0.0064945220947265625,-0.6689545947088109,-0.2095169060751279,-0.0607222702698345,-0.2042676638233092,-0.24638599391485352,0.19017698518788903,19
SGDRegressor,-1.7742691053995636e+29,110506512011120.44,115933653931303.23,0.22520160675048828,0.004370212554931641,-337306853729156.7,-168805703896281.56,-3.528979773788694e+28,-169163526204850.5,-173366745343086.4,-4.7548410823434524e+29,19
PassiveAggressiveRegressor,-0.7330562851345968,0.29642940608458923,0.3623315172215446,0.12472758293151856,0.004147529602050781,-0.7225511105761595,-0.2736897640790814,-0.11405700901114739,-0.25383670458744434,-0.33111769403568536,-0.5202747681310165,19
GradientBoostingRegressor,0.10362682009992041,0.23974888774259986,0.26058187551270867,1.2002853393554687,0.005254507064819336,-0.47267032063853176,-0.2375440303272114,-0.0676901321739268,-0.2569811294879667,-0.26016344052109003,0.09707484336904415,19
HistGradientBoostingRegressor,-0.0003678519623488974,0.25363788329707215,0.2752831581738334,0.5654617309570312,0.006839132308959961,-0.4681220328664635,-0.25156385597005676,-0.07555614469928351,-0.28315594483119594,-0.27486081742711843,-0.007812161745226387,19
AdaBoostRegressor,0.0022936113931990576,0.25219082031094014,0.27491672097235903,0.025443029403686524,0.004477071762084961,-0.5208734893912418,-0.2504127593956299,-0.07532334812013594,-0.28115094812062086,-0.27444107714282207,-0.004794097403306674,19
RandomForestRegressor,0.35285175021260207,0.15750809150333,0.22141226219782498,59.7122184753418,0.20165634155273438,-0.7234178862020003,-0.1701815867029767,-0.05518165572356396,-0.11508731653300004,-0.2347279278400825,0.2627426182135256,19
ExtraTreesRegressor,0.3476038522203153,0.15710429966275533,0.22230819510897007,111.3809196472168,0.21918292045593263,-0.7485325177080002,-0.16868004140140241,-0.05466794942271118,-0.11323130868199986,-0.23374271881463668,0.270405637352557,19
BaggingRegressor,0.30306339017760353,0.16061548679004717,0.22977163677163134,7.0387125492095945,0.034511470794677736,-0.7264473264600001,-0.17315592978923516,-0.058300345964442814,-0.11350889252,-0.24134293883353447,0.22132799904486386,19
DecisionTreeRegressor,0.18654842680718642,0.17081849651440545,0.24823649492149832,1.8413279056549072,0.009766721725463867,-0.7589717098000001,-0.1814074207507264,-0.06687071191716164,-0.1065265651,-0.2585130380448896,0.10724068930768645,19
SVR,0.15380065202991455,0.22666554830905503,0.2531839212882104,2.8906182765960695,0.8242382526397705,-0.4967339558710102,-0.22887194830639257,-0.065196640087039,-0.2370584887945178,-0.25532525585472854,0.1301641810276334,19
KNeighborsRegressor,0.43370302074252265,0.15978958741218438,0.20711993504337198,0.009305143356323242,0.0824732780456543,-0.66963229588,-0.17278248194785328,-0.0471776806897741,-0.14558693738,-0.21717028378720796,0.370550097019669,19
PLSRegression,0.20602792526642832,0.20590874333527598,0.24524625973240352,0.04001908302307129,0.0054417610168457035,-0.8811952353602086,-0.21036216761417736,-0.06305220979943602,-0.19975644489899994,-0.25104223629211775,0.15922456365141635,19
